,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
1353,First,2014,Andy Murray,0.69,12,2,0.8,0.61,144.0,0.54,0.54,84,13.0,1
1354,First,2014,Michael Berrer,0.63,9,6,0.85,0.7,119.90135396518376,0.42,0.39,95,6.0,1
1355,First,2014,David Ferrer,0.53,2,6,0.64,0.54,142.0,0.67,0.53,96,30.0,1
1356,First,2014,Jarkko Nieminen,0.6,2,6,0.63,0.48,119.90135396518376,0.59,0.43,173,72.0,1
1357,First,2014,Nikolay Davydenko,0.77,6,4,0.73,0.35,119.90135396518376,0.29,0.45,162,4.0,1
1358,First,2014,Dmitry Tursunov,0.53,8,6,0.75,0.51,119.90135396518376,0.67,0.49,104,6.0,1
1359,First,2014,Julien Benneteau,0.66,16,4,0.71,0.55,119.90135396518376,0.37,0.45,152,46.0,1
1360,First,2014,Edouard Roger0Vasselin,0.65,6,6,0.61,0.54,119.90135396518376,0.44,0.44,163,6.0,1
1361,First,2014,Tommy Robredo,0.57,13,0,0.76,0.69,119.90135396518376,0.33,0.39,177,38.0,1
1362,First,2014,Richard Gasquet,0.67,12,0,0.74,0.5,131.0,0.7,0.5,94,20.0,1
1363,First,2014,Tomas Berdych,0.66,9,0,0.83,0.79,141.0,0.29,0.42,97,17.0,1
1364,First,2014,Florian Mayer,0.58,6,1,0.75,0.63,119.90135396518376,0.45,0.45,101,23.0,1
1365,First,2014,Guillermo Garcia0Lopez,0.58,7,3,0.77,0.44,154.0,1.0,0.45,65,9.0,1
1366,First,2014,Stanislas Wawrinka,0.63,4,1,0.91,0.46,148.0,0.44,0.5,54,11.0,1
1367,First,2014,Alejandro Falla,0.6,4,2,0.68,0.47,119.90135396518376,0.36,0.5,151,2.0,1
1368,First,2014,Pablo Andujar,0.73,2,1,0.61,0.63,119.90135396518376,0.58,0.5,97,1.0,1
1369,First,2014,Denis Istomin,0.77,9,1,0.7,0.63,143.0,0.31,0.43,126,41.0,1
1370,First,2014,Fabio Fognini,0.47,3,4,0.69,0.52,119.90135396518376,0.3,0.54,78,31.0,1
1371,First,2014,Novak Djokovic,0.68,10,0,0.83,0.68,153.0,0.5,0.42,101,30.0,1
1372,First,2014,Mikhail Youzhny,0.69,5,2,0.66,0.63,119.90135396518376,0.78,0.52,95,30.0,1
1373,First,2014,Kevin Anderson,0.63,21,9,0.83,0.52,119.90135396518376,0.21,0.31,154,9.0,1
1374,First,2014,Ernests Gulbis,0.53,17,11,0.78,0.47,142.0,0.6,0.32,127,79.0,1
1375,First,2014,Alexandr Dolgopolov,0.58,7,4,0.79,0.61,146.0,0.31,0.43,114,31.0,1
1376,First,2014,Leonardo Mayer,0.61,13,1,0.94,0.62,119.90135396518376,0.5,0.53,80,1.0,1
1377,First,2014,Kenny de Schepper,0.62,19,13,0.76,0.4,128.0,0.36,0.4,134,66.0,1
1378,First,2014,Adrian Mannarino,0.58,3,3,0.64,0.63,119.90135396518376,0.64,0.4,142,3.0,1
1379,First,2014,Vasek Pospisil,0.67,6,4,0.9,0.52,166.0,0.4,0.39,94,17.0,1
1380,First,2014,Matthew Ebden,0.67,7,7,0.66,0.52,153.0,0.5,0.37,131,55.0,1
1381,First,2014,Dominic Thiem,0.55,20,3,0.79,0.51,119.90135396518376,0.42,0.4,148,3.0,1
1382,First,2014,Jerzy Janowicz,0.64,18,11,0.72,0.46,152.0,0.56,0.4,153,64.0,1
1383,First,2014,Damir Dzumhur,0.53,4,3,0.86,0.59,119.90135396518376,0.58,0.55,95,3.0,1
1384,First,2014,Ivan Dodig,0.83,8,2,0.82,0.71,119.90135396518376,0.67,0.28,108,7.0,1
1385,First,2014,Sam Querrey,0.63,24,4,0.81,0.51,136.0,0.57,0.35,122,45.0,1
0,Final,2009,Roger Federer,0.52,11,6,0.73,0.45,156.0,0.32,0.41,174,64.0,0
1,semi,2009,Fernando Verdasco,0.69,20,4,0.71,0.55,158.0,0.5,0.31,192,76.0,0
2,semi,2009,Andy Roddick,0.65,8,2,0.7,0.52,172.0,0.0,0.26,85,18.0,0
3,quarter,2009,Gilles Simon,0.55,4,4,0.71,0.38,135.0,0.43,0.32,83,41.0,0
4,quarter,2009,Jo0Wilfried Tsonga,0.65,9,3,0.72,0.49,150.0,0.15,0.33,114,40.0,0
5,quarter,2009,Juan Martin Del Potro,0.59,5,2,0.46,0.33,151.0,0.0,0.17,36,24.0,0
6,quarter,2009,Novak Djokovic,0.62,8,5,0.63,0.48,164.0,1.0,0.25,88,39.0,0
7,Fourth,2009,Fernando Gonzalez,0.69,6,2,0.59,0.36,148.0,0.29,0.27,66,35.0,0
8,Fourth,2009,James Blake,0.53,4,5,0.67,0.59,153.0,0.25,0.3,97,27.0,0
9,Fourth,2009,Gael Monfils,0.57,1,3,0.59,0.41,138.0,0.44,0.42,78,31.0,0
10,Fourth,2009,Andy Murray,0.61,7,3,0.62,0.56,132.0,0.38,0.4,138,40.0,0
11,Fourth,2009,Marin Cilic,0.5,10,1,0.7,0.53,145.0,0.3,0.36,119,64.0,0
12,Fourth,2009,Tommy Robredo,0.68,0,2,0.63,0.5,148.0,0.0,0.26,67,24.0,0
13,Fourth,2009,Tomas Berdych,0.61,8,2,0.71,0.46,158.0,0.42,0.37,151,42.0,0
14,Fourth,2009,Marcos Baghdatis,0.54,12,2,0.64,0.46,150.0,0.2,0.33,118,53.0,0
15,Third,2009,Igor Andreev,0.58,5,2,0.71,0.38,146.0,0.2,0.27,83,29.0,0
16,Third,2009,Richard Gasquet,0.64,11,7,0.81,0.41,151.0,0.43,0.35,191,58.0,0
17,Third,2009,Nicolas Almagro,0.68,10,2,0.63,0.52,148.0,0.2,0.34,91,43.0,0
18,Third,2009,Radek Stepanek,0.56,2,5,0.44,0.3,151.0,0.2,0.33,55,39.0,0
19,Third,2009,Dudi Sela,0.55,0,2,0.63,0.48,142.0,0.27,0.36,93,25.0,0
20,Third,2009,Jurgen Melzer,0.7,2,1,0.58,0.25,142.0,0.25,0.33,65,30.0,0
21,Third,2009,Tommy Haas,0.62,6,0,0.57,0.41,151.0,1.0,0.19,62,25.0,0
22,Third,2009,Mario Ancic,0.53,7,3,0.71,0.44,153.0,0.17,0.36,99,49.0,0
23,Third,2009,Yen0Hsun Lu,0.63,1,2,0.58,0.31,145.0,0.25,0.31,56,33.0,0
24,Third,2009,Fabrice Santoro,0.57,4,2,0.69,0.47,134.0,0.0,0.21,62,12.0,0
25,Third,2009,David Ferrer,0.7,0,3,0.59,0.7,140.0,0.5,0.36,94,39.0,0
26,Third,2009,Mardy Fish,0.54,10,4,0.6,0.47,148.0,0.67,0.35,89,45.0,0
27,Third,2009,Stanislas Wawrinka,0.51,9,2,0.66,0.48,146.0,0.14,0.35,119,49.0,0
28,Third,2009,Amer Delic,0.59,16,6,0.77,0.44,171.0,0.11,0.31,123,56.0,0
29,Third,2009,Marat Safin,0.51,14,2,0.63,0.59,154.0,0.0,0.24,76,33.0,0
30,Third,2009,Gilles Muller,0.64,22,9,0.7,0.43,158.0,0.33,0.23,137,62.0,0
31,Second,2009,Michael Berrer,0.66,4,8,0.65,0.47,0.0,0.33,0.34,126,33.38345266507557,0
32,Second,2009,Denis Istomin,0.6,5,2,0.67,0.34,146.0,0.33,0.29,76,35.0,0
33,Second,2009,Fabio Fognini,0.52,3,5,0.61,0.29,0.0,0.67,0.33,60,33.38345266507557,0
34,Second,2009,Marcel Granollers,0.52,2,1,0.56,0.47,146.0,0.5,0.3,72,27.0,0
35,Second,2009,Sebastien de Chaunac,0.48,9,7,0.63,0.45,142.0,0.0,0.27,79,40.0,0
36,Second,2009,Andreas Beck,0.55,5,10,0.6,0.57,0.0,0.29,0.38,140,33.38345266507557,0
37,Second,2009,Ivo Karlovic,0.65,25,2,0.78,0.46,161.0,0.5,0.25,137,42.0,0
38,Second,2009,Ernests Gulbis,0.64,14,8,0.68,0.49,161.0,0.25,0.35,173,80.0,0
39,Second,2009,Arnaud Clement,0.63,2,3,0.44,0.45,143.0,0.0,0.18,45,31.0,0
40,Second,2009,Victor Hanescu,0.71,1,3,0.66,0.32,0.0,0.0,0.32,78,33.38345266507557,0
41,Second,2009,Flavio Cipolla,0.76,0,8,0.56,0.13,135.0,0.5,0.3,61,29.0,0
42,Second,2009,Chris Guccione,0.63,12,3,0.65,0.58,161.0,0.0,0.26,107,37.0,0
43,Second,2009,Ivan Ljubicic,0.61,17,1,0.76,0.61,153.0,1.0,0.25,137,40.0,0
44,Second,2009,Guillermo Canas,0.53,9,5,0.65,0.53,143.0,1.0,0.26,93,23.0,0
45,Second,2009,Roko Karanusic,0.66,2,2,0.69,0.27,132.0,0.0,0.3,58,14.0,0
46,Second,2009,Stefan Koubek,0.54,2,3,0.68,0.63,140.0,0.33,0.3,100,44.0,0
47,Second,2009,Guillermo Garcia0Lopez,0.66,1,6,0.63,0.48,146.0,0.0,0.23,67,35.0,0
48,Second,2009,Simone Bolelli,0.63,5,2,0.66,0.37,0.0,0.33,0.33,75,33.38345266507557,0
49,Second,2009,Brian Dabul,0.7,2,3,0.58,0.25,148.0,0.0,0.25,63,35.0,0
50,Second,2009,Brydan Klein,0.67,8,4,0.7,0.45,151.0,0.0,0.23,81,33.0,0
51,Second,2009,Robin Soderling,0.51,7,4,0.69,0.38,150.0,0.42,0.38,115,69.0,0
52,Second,2009,Dominik Hrbaty,0.55,2,3,0.55,0.33,134.0,0.0,0.17,34,34.0,0
53,Second,2009,Jeremy Chardy,0.61,3,0,0.61,0.45,167.0,0.5,0.27,61,32.0,0
54,Second,2009,Viktor Troicki,0.57,4,3,0.58,0.24,0.0,0.0,0.2,44,33.38345266507557,0
55,Second,2009,Xavier Malisse,0.61,11,2,0.67,0.48,137.0,0.67,0.25,101,50.0,0
56,Second,2009,Philipp Kohlschreiber,0.68,4,4,0.59,0.56,151.0,0.37,0.4,174,69.0,0
57,Second,2009,Evgeny Korolev,0.51,2,3,0.54,0.44,148.0,1.0,0.29,59,44.0,0
58,Second,2009,Paul0Henri Mathieu,0.67,11,4,0.73,0.63,0.0,0.5,0.33,158,33.38345266507557,0
59,Second,2009,David Nalbandian,0.5,5,8,0.66,0.51,148.0,0.35,0.36,149,61.0,0
60,Second,2009,Bernard Tomic,0.56,5,7,0.65,0.47,143.0,0.17,0.27,92,39.0,0
61,Second,2009,Janko Tipsarevic,0.55,4,3,0.6,0.5,140.0,0.33,0.35,115,42.0,0
62,Second,2009,Florian Mayer,0.62,3,1,0.53,0.48,137.0,0.2,0.33,66,19.0,0
63,First,2009,Frank Dancevic,0.55,8,3,0.69,0.38,137.0,0.25,0.32,88,15.0,0
64,First,2009,Florent Serra,0.68,5,1,0.64,0.53,0.0,0.43,0.38,126,33.38345266507557,0
65,First,2009,Lleyton Hewitt,0.53,9,11,0.63,0.52,146.0,0.36,0.33,121,47.0,0
66,First,2009,Andrei Pavel,0.56,0,3,0.59,0.29,132.0,0.0,0.19,24,17.0,0
67,First,2009,Nicolas Lapentti,0.58,9,5,0.64,0.58,0.0,0.67,0.31,114,33.38345266507557,0
68,First,2009,Jan Hernych,0.72,6,8,0.65,0.44,0.0,0.56,0.41,191,33.38345266507557,0
69,First,2009,Mikhail Youzhny,0.63,4,5,0.42,0.53,0.0,0.33,0.33,65,33.38345266507557,0
70,First,2009,Albert Montanes,0.54,2,2,0.7,0.55,0.0,0.0,0.26,62,33.38345266507557,0
71,First,2009,Wayne Odesnik,0.66,1,4,0.64,0.55,0.0,1.0,0.28,111,33.38345266507557,0
72,First,2009,Adrian Mannarino,0.44,2,4,0.56,0.31,143.0,0.0,0.28,45,43.0,0
73,First,2009,Sergiy Stakhovsky,0.62,9,4,0.61,0.47,0.0,0.43,0.43,139,33.38345266507557,0
74,First,2009,Carsten Ball,0.58,14,6,0.57,0.35,161.0,0.38,0.34,82,55.0,0
75,First,2009,Colin Ebelthite,0.57,3,5,0.58,0.28,0.0,0.4,0.31,59,33.38345266507557,0
76,First,2009,Eduardo Schwank,0.61,2,4,0.61,0.44,142.0,0.29,0.33,79,31.0,0
77,First,2009,Vince Spadea,0.65,3,7,0.55,0.39,119.90135396518376,0.75,0.33,73,33.38345266507557,0
78,First,2009,Martin Vassallo Arguello,0.66,0,6,0.54,0.4,137.0,0.33,0.37,91,38.0,0
79,First,2009,Peter Polansky,0.61,7,4,0.62,0.55,0.0,0.5,0.32,142,33.38345266507557,0
80,First,2009,Steve Darcis,0.46,5,2,0.62,0.53,0.0,0.75,0.39,105,33.38345266507557,0
81,First,2009,Igor Kunitsyn,0.77,10,6,0.66,0.37,0.0,0.8,0.37,173,33.38345266507557,0
82,First,2009,Andrey Golubev,0.56,6,7,0.65,0.61,0.0,0.25,0.32,127,33.38345266507557,0
83,Final,2010,Andy Murray,0.57,10,4,0.69,0.51,151.0,0.25,0.32,100,36.0,0
84,semi,2010,Jo0Wilfried Tsonga,0.56,6,5,0.69,0.39,146.0,0.0,0.22,54,27.0,0
85,semi,2010,Marin Cilic,0.56,6,6,0.7,0.44,148.0,0.33,0.31,106,54.0,0
86,quarter,2010,Nikolay Davydenko,0.62,1,4,0.59,0.39,150.0,0.26,0.39,104,50.0,0
87,quarter,2010,Novak Djokovic,0.69,2,9,0.67,0.49,155.0,0.38,0.39,155,55.0,0
88,quarter,2010,Andy Roddick,0.63,15,1,0.69,0.52,169.0,0.38,0.38,149,51.0,0
89,quarter,2010,Rafael Nadal,0.67,1,1,0.63,0.42,143.0,0.17,0.36,75,26.0,0
90,Fourth,2010,Lleyton Hewitt,0.6,5,2,0.62,0.45,140.0,0.2,0.28,77,18.0,0
91,Fourth,2010,Fernando Verdasco,0.57,15,20,0.73,0.45,164.0,0.33,0.35,157,81.0,0
92,Fourth,2010,Lukasz Kubot,0.62,4,4,0.68,0.31,162.0,0.5,0.23,58,25.0,0
93,Fourth,2010,Nicolas Almagro,0.77,13,1,0.75,0.53,146.0,0.25,0.24,160,40.0,0
94,Fourth,2010,Fernando Gonzalez,0.61,17,9,0.75,0.44,147.0,0.5,0.25,141,49.0,0
95,Fourth,2010,Juan Martin Del Potro,0.6,19,3,0.72,0.54,145.0,0.3,0.31,173,58.0,0
96,Fourth,2010,John Isner,0.69,14,2,0.7,0.29,175.0,0.0,0.22,71,41.0,0
97,Fourth,2010,Ivo Karlovic,0.68,28,2,0.78,0.62,167.0,0.5,0.23,101,42.0,0
98,Third,2010,Albert Montanes,0.6,7,1,0.6,0.64,145.0,0.0,0.22,74,33.0,0
99,Third,2010,Marcos Baghdatis,0.47,5,2,0.65,0.16,148.0,0.0,0.23,21,26.0,0
100,Third,2010,Stefan Koubek,0.53,0,2,0.44,0.13,129.0,0.0,0.22,9,12.0,0
101,Third,2010,Juan Monaco,0.67,0,0,0.47,0.52,145.0,0.5,0.31,58,35.0,0
102,Third,2010,Denis Istomin,0.55,3,0,0.39,0.26,138.0,0.22,0.35,49,31.0,0
103,Third,2010,Tommy Haas,0.69,9,2,0.66,0.56,149.0,0.5,0.29,100,38.0,0
104,Third,2010,Alejandro Falla,0.5,3,2,0.63,0.51,142.0,0.25,0.27,81,35.0,0
105,Third,2010,Feliciano Lopez,0.58,29,5,0.74,0.51,165.0,0.2,0.23,137,60.0,0
106,Third,2010,Evgeny Korolev,0.59,16,7,0.78,0.53,145.0,0.33,0.32,150,50.0,0
107,Third,2010,Stanislas Wawrinka,0.53,11,6,0.75,0.45,146.0,0.29,0.31,114,49.0,0
108,Third,2010,Florian Mayer,0.67,5,3,0.64,0.54,139.0,0.5,0.38,117,24.0,0
109,Third,2010,Florent Serra,0.66,6,2,0.51,0.48,142.0,1.0,0.29,72,35.0,0
110,Third,2010,Gael Monfils,0.6,12,7,0.71,0.52,151.0,0.43,0.28,118,28.0,0
111,Third,2010,Ivan Ljubicic,0.61,14,0,0.76,0.51,148.0,0.14,0.24,117,25.0,0
112,Third,2010,Philipp Kohlschreiber,0.61,11,4,0.68,0.48,156.0,0.2,0.37,129,58.0,0
113,Second,2010,Victor Hanescu,0.7,3,1,0.56,0.46,159.0,0.0,0.24,64,26.0,0
114,Second,2010,Stephane Robert,0.59,3,7,0.59,0.47,133.0,0.4,0.37,150,55.0,0
115,Second,2010,Donald Young,0.63,8,2,0.65,0.3,144.0,0.33,0.34,76,42.0,0
116,Second,2010,David Ferrer,0.66,1,0,0.62,0.53,144.0,0.44,0.34,154,72.0,0
117,Second,2010,Ivan Sergeyev,0.4,0,7,0.53,0.34,142.0,0.2,0.33,64,47.0,0
118,Second,2010,Ivan Dodig,0.54,9,5,0.61,0.5,0.0,0.25,0.26,76,10.0,0
119,Second,2010,Michael Llodra,0.57,5,7,0.63,0.45,153.0,0.47,0.39,137,46.0,0
120,Second,2010,Illya Marchenko,0.53,1,1,0.62,0.3,140.0,0.14,0.29,55,32.0,0
121,Second,2010,Marco Chiudinelli,0.56,3,3,0.58,0.42,147.0,0.18,0.38,103,42.0,0
122,Second,2010,Michael Berrer,0.65,5,2,0.56,0.57,0.0,1.0,0.31,88,4.0,0
123,Second,2010,Jan Hajek,0.7,0,5,0.47,0.33,138.0,0.0,0.25,45,46.0,0
124,Second,2010,Santiago Giraldo,0.7,2,2,0.6,0.38,0.0,0.27,0.33,110,4.0,0
125,Second,2010,Taylor Dent,0.47,4,7,0.7,0.47,172.0,1.0,0.25,67,33.0,0
126,Second,2010,Janko Tipsarevic,0.54,14,5,0.69,0.52,145.0,0.35,0.39,140,41.0,0
127,Second,2010,Benjamin Becker,0.53,14,6,0.77,0.55,148.0,1.0,0.26,121,55.0,0
128,Second,2010,Marcel Granollers,0.69,3,4,0.55,0.27,0.0,0.6,0.36,73,8.0,0
129,Second,2010,Thomaz Bellucci,0.61,8,4,0.65,0.47,153.0,0.2,0.23,75,43.0,0
130,Second,2010,Rainer Schuettler,0.64,2,4,0.68,0.44,139.0,0.22,0.35,102,50.0,0
131,Second,2010,Tomas Berdych,0.51,4,4,0.6,0.43,0.0,0.5,0.37,86,8.0,0
132,Second,2010,Marsel Ilhan,0.77,5,1,0.59,0.59,146.0,0.33,0.26,84,24.0,0
133,Second,2010,Bernard Tomic,0.66,4,8,0.63,0.45,138.0,0.38,0.33,161,63.0,0
134,Second,2010,Igor Kunitsyn,0.72,2,1,0.58,0.47,132.0,0.0,0.33,70,37.0,0
135,Second,2010,Viktor Troicki,0.61,26,9,0.76,0.43,0.0,0.33,0.31,114,18.0,0
136,Second,2010,James Blake,0.62,16,4,0.69,0.48,148.0,0.5,0.35,200,60.0,0
137,Second,2010,Marc Gicquel,0.59,1,4,0.59,0.39,151.0,0.14,0.34,76,43.0,0
138,Second,2010,Jarkko Nieminen,0.76,9,4,0.64,0.54,125.0,0.29,0.38,199,58.0,0
139,Second,2010,Louk Sorensen,0.61,11,6,0.91,0.5,143.0,0.0,0.27,94,19.0,0
140,Second,2010,Antonio Veic,0.63,2,0,0.6,0.45,132.0,0.6,0.35,85,24.0,0
141,Second,2010,Julien Benneteau,0.6,7,4,0.63,0.51,0.0,0.2,0.3,89,8.0,0
142,Second,2010,Andrey Golubev,0.54,6,9,0.66,0.53,0.0,0.17,0.28,104,18.0,0
143,Second,2010,Wayne Odesnik,0.48,8,11,0.64,0.53,0.0,0.14,0.34,117,22.0,0
144,Second,2010,Lukas Lacko,0.4,2,5,0.59,0.35,154.0,1.0,0.29,55,58.0,0
145,First,2010,Igor Andreev,0.63,2,7,0.56,0.37,140.0,0.45,0.34,103,55.0,0
146,First,2010,Juan Ignacio Chela,0.54,6,4,0.63,0.38,0.0,0.43,0.34,96,8.0,0
147,First,2010,Potito Starace,0.61,5,2,0.66,0.51,146.0,0.18,0.32,110,53.0,0
148,First,2010,Oscar Hernandez,0.54,0,2,0.61,0.53,0.0,1.0,0.27,53,4.0,0
149,First,2010,Ricardo Hocevar,0.7,5,4,0.61,0.36,153.0,0.0,0.2,58,39.0,0
150,First,2010,Christophe Rochus,0.63,4,6,0.66,0.4,0.0,0.33,0.38,112,12.0,0
151,First,2010,Paolo Lorenzi,0.66,2,6,0.58,0.43,147.0,0.25,0.24,71,50.0,0
152,First,2010,Frederico Gil,0.7,0,1,0.31,0.21,133.0,0.0,0.22,21,26.0,0
153,First,2010,Carsten Ball,0.5,13,6,0.64,0.58,160.0,0.23,0.29,138,63.0,0
154,First,2010,Dudi Sela,0.63,7,3,0.66,0.52,0.0,0.36,0.36,147,6.0,0
155,First,2010,Rajeev Ram,0.57,15,7,0.71,0.48,0.0,0.29,0.32,144,14.0,0
156,First,2010,Juan Carlos Ferrero,0.65,5,3,0.68,0.42,0.0,0.38,0.4,132,6.0,0
157,First,2010,Ernests Gulbis,0.54,8,7,0.59,0.38,171.0,0.3,0.37,87,73.0,0
158,First,2010,Martin Vassallo Arguello,0.71,3,2,0.62,0.45,0.0,0.25,0.29,93,4.0,0
159,First,2010,Carlos Moya,0.56,9,2,0.65,0.49,0.0,0.43,0.33,99,4.0,0
160,First,2010,Dieter Kindlmann,0.6,0,6,0.45,0.28,141.0,0.33,0.34,52,35.0,0
161,First,2010,Daniel Gimeno0Traver,0.6,5,5,0.71,0.33,153.0,0.17,0.28,78,47.0,0
162,First,2010,Marinko Matosevic,0.55,12,5,0.6,0.59,137.0,0.42,0.36,134,49.0,0
163,First,2010,Kristof Vliegen,0.68,5,4,0.54,0.24,137.0,0.0,0.17,45,34.0,0
164,First,2010,Jeremy Chardy,0.49,5,7,0.6,0.35,0.0,0.0,0.24,45,14.0,0
165,First,2010,Richard Gasquet,0.54,8,9,0.79,0.42,153.0,0.38,0.35,180,65.0,0
166,First,2010,Robby Ginepri,0.63,6,3,0.63,0.4,0.0,0.25,0.35,102,6.0,0
167,First,2010,Mischa Zverev,0.51,12,3,0.63,0.39,0.0,0.67,0.3,70,6.0,0
168,First,2010,Tommy Robredo,0.57,2,6,0.6,0.45,0.0,0.0,0.26,69,12.0,0
169,First,2010,Sergiy Stakhovsky,0.6,5,6,0.61,0.47,142.0,0.33,0.28,78,41.0,0
170,First,2010,Fabio Fognini,0.42,2,7,0.48,0.35,139.0,0.38,0.36,51,32.0,0
171,First,2010,Ryan Harrison,0.54,5,9,0.63,0.45,0.0,0.18,0.35,111,18.0,0
172,First,2010,Simon Greul,0.48,3,8,0.64,0.42,147.0,0.5,0.31,108,47.0,0
173,First,2010,Xavier Malisse,0.57,14,3,0.75,0.56,0.0,0.44,0.31,178,6.0,0
174,First,2010,Grega Zemlja,0.57,10,3,0.62,0.61,0.0,0.5,0.34,105,6.0,0
175,First,2010,Marcos Daniel,0.36,2,8,0.81,0.43,0.0,0.0,0.3,76,16.0,0
176,First,2010,Robin Soderling,0.62,8,3,0.67,0.45,149.0,0.5,0.4,150,67.0,0
177,First,2010,Thiemo de Bakker,0.71,17,2,0.65,0.5,141.0,0.0,0.27,79,42.0,0
178,First,2010,Teimuraz Gabashvili,0.57,3,13,0.66,0.47,119.90135396518376,0.19,0.34,141,26.0,0
179,First,2010,Pablo Cuevas,0.61,7,8,0.71,0.36,0.0,0.4,0.33,78,16.0,0
180,First,2010,Sam Querrey,0.58,15,6,0.76,0.41,0.0,0.6,0.36,107,12.0,0
181,First,2010,Robin Haase,0.6,5,5,0.53,0.34,0.0,0.33,0.28,56,10.0,0
182,First,2010,Daniel Brands,0.52,10,5,0.59,0.48,0.0,0.43,0.35,89,10.0,0
183,First,2010,Sebastien Grosjean,0.63,4,1,0.66,0.49,0.0,0.09,0.35,99,2.0,0
184,First,2010,Olivier Rochus,0.65,5,4,0.63,0.42,132.0,0.43,0.28,99,18.0,0
185,First,2010,Fabrice Santoro,0.62,0,1,0.66,0.49,128.0,0.5,0.3,92,18.0,0
186,First,2010,Guillaume Rufin,0.57,2,2,0.56,0.5,146.0,0.38,0.33,70,52.0,0
187,First,2010,Jose Acasuso,0.58,9,6,0.64,0.39,0.0,0.21,0.35,99,12.0,0
188,First,2010,Guillermo Garcia0Lopez,0.6,1,9,0.63,0.42,137.0,0.0,0.23,63,40.0,0
189,First,2010,Nicolas Lapentti,0.45,2,3,0.58,0.48,0.0,0.2,0.33,99,6.0,0
190,First,2010,Philipp Petzschner,0.58,7,6,0.7,0.44,0.0,0.67,0.4,123,12.0,0
191,First,2010,Arnaud Clement,0.63,2,1,0.63,0.53,141.0,0.5,0.27,86,29.0,0
192,First,2010,Michael Russell,0.65,4,9,0.64,0.46,151.0,0.5,0.35,116,54.0,0
193,First,2010,Kevin Anderson,0.69,2,2,0.51,0.26,171.0,0.25,0.3,52,32.0,0
194,First,2010,Simone Bolelli,0.66,5,2,0.7,0.46,0.0,0.25,0.32,114,4.0,0
195,First,2010,Nick Lindahl,0.62,7,2,0.67,0.44,132.0,0.13,0.29,87,31.0,0
196,First,2010,Jurgen Melzer,0.62,10,7,0.69,0.51,0.0,0.18,0.31,134,14.0,0
197,First,2010,Andreas Seppi,0.56,10,10,0.76,0.56,0.0,0.33,0.33,147,20.0,0
198,First,2010,Yen0Hsun Lu,0.61,0,3,0.66,0.39,0.0,0.67,0.28,88,6.0,0
199,First,2010,Daniel Koellerer,0.8,1,1,0.61,0.41,0.0,0.5,0.39,140,2.0,0
200,First,2010,Matthew Ebden,0.64,2,2,0.7,0.49,140.0,1.0,0.22,79,38.0,0
201,First,2010,David Guez,0.63,1,5,0.54,0.69,0.0,0.5,0.37,130,10.0,0
202,First,2010,Mardy Fish,0.52,3,4,0.67,0.39,136.0,0.44,0.39,103,52.0,0
203,First,2010,Jason Murray Kubler,0.59,3,2,0.53,0.4,119.90135396518376,0.0,0.18,46,32.0,0
204,First,2010,Horacio Zeballos,0.64,7,3,0.61,0.26,0.0,0.33,0.25,61,6.0,0
205,First,2010,Blaz Kavcic,0.63,1,4,0.57,0.39,0.0,0.67,0.35,93,8.0,0
206,First,2010,Leonardo Mayer,0.66,7,3,0.61,0.5,0.0,0.0,0.25,63,6.0,0
207,First,2010,Peter Luczak,0.59,7,6,0.7,0.35,149.0,0.14,0.3,82,38.0,0
208,Final,2011,Andy Murray,0.53,6,4,0.64,0.31,0.0,0.75,0.33,78,47.0,0
209,semi,2011,David Ferrer,0.67,5,2,0.6,0.49,146.0,0.28,0.4,141,34.0,0
210,semi,2011,Roger Federer,0.6,5,0,0.71,0.48,157.0,0.3,0.37,111,44.0,0
211,quarter,2011,Rafael Nadal,0.66,2,1,0.55,0.37,142.0,0.33,0.33,75,34.0,0
212,quarter,2011,Alexandr Dolgopolov,0.58,16,5,0.71,0.35,140.0,0.8,0.31,124,77.0,0
213,quarter,2011,Tomas Berdych,0.53,5,5,0.71,0.36,156.0,0.5,0.31,80,32.0,0
214,quarter,2011,Stanislas Wawrinka,0.58,1,0,0.57,0.56,144.0,0.0,0.27,66,30.0,0
215,Fourth,2011,Marin Cilic,0.55,8,4,0.76,0.33,152.0,0.0,0.29,82,48.0,0
216,Fourth,2011,Milos Raonic,0.61,15,2,0.65,0.51,160.0,0.22,0.29,109,68.0,0
217,Fourth,2011,Robin Soderling,0.62,6,6,0.59,0.38,155.0,0.67,0.38,111,51.0,0
218,Fourth,2011,Jurgen Melzer,0.65,1,1,0.51,0.32,150.0,0.13,0.29,52,27.0,0
219,Fourth,2011,Fernando Verdasco,0.57,10,4,0.69,0.44,155.0,1.0,0.17,57,39.0,0
220,Fourth,2011,Nicolas Almagro,0.59,5,2,0.61,0.44,151.0,0.0,0.24,60,35.0,0
221,Fourth,2011,Andy Roddick,0.61,9,4,0.74,0.41,178.0,0.0,0.22,85,19.0,0
222,Fourth,2011,Tommy Robredo,0.62,6,1,0.72,0.49,142.0,0.5,0.27,97,21.0,0
223,Third,2011,Bernard Tomic,0.64,11,3,0.64,0.35,141.0,0.25,0.37,92,49.0,0
224,Third,2011,John Isner,0.69,26,5,0.76,0.54,168.0,0.09,0.26,179,59.0,0
