,round,year,player,firstServe,ace,double,firstPointWon,secPointWon,avgSecServe,break,return,total,error,temp_winner
88,quarter,2010,Marin Cilic,0.5,20,6,0.75,0.46,145.0,0.38,0.37,147,53.0,1
89,quarter,2010,Andy Murray,0.59,13,1,0.77,0.45,152.0,0.4,0.44,94,25.0,1
90,Fourth,2010,Roger Federer,0.63,7,0,0.76,0.66,149.0,0.33,0.44,102,27.0,1
91,Fourth,2010,Nikolay Davydenko,0.62,6,5,0.68,0.57,154.0,0.58,0.35,171,51.0,1
92,Fourth,2010,Novak Djokovic,0.69,11,1,0.8,0.7,158.0,0.67,0.44,92,17.0,1
93,Fourth,2010,Jo0Wilfried Tsonga,0.58,25,4,0.85,0.63,149.0,0.27,0.3,174,42.0,1
94,Fourth,2010,Andy Roddick,0.68,32,0,0.87,0.5,167.0,0.22,0.35,159,17.0,1
95,Fourth,2010,Marin Cilic,0.57,20,7,0.82,0.5,145.0,0.25,0.34,181,71.0,1
96,Fourth,2010,Andy Murray,0.71,5,1,0.83,0.65,148.0,0.5,0.42,108,8.0,1
97,Fourth,2010,Rafael Nadal,0.71,2,2,0.78,0.73,139.0,0.5,0.27,107,15.0,1
98,Third,2010,Roger Federer,0.66,10,3,0.88,0.56,149.0,0.5,0.38,96,39.0,1
99,Third,2010,Lleyton Hewitt,0.55,1,0,0.76,0.79,137.0,0.5,0.58,46,8.0,1
100,Third,2010,Fernando Verdasco,0.63,0,2,0.9,0.5,166.0,1.0,0.63,24,6.0,1
101,Third,2010,Nikolay Davydenko,0.71,6,2,0.72,0.59,146.0,0.6,0.51,87,30.0,1
102,Third,2010,Novak Djokovic,0.59,3,7,0.73,0.45,158.0,0.64,0.67,87,25.0,1
103,Third,2010,Jo0Wilfried Tsonga,0.67,20,3,0.78,0.56,146.0,0.45,0.36,116,29.0,1
104,Third,2010,Nicolas Almagro,0.56,11,3,0.88,0.51,144.0,0.4,0.42,106,37.0,1
105,Third,2010,Andy Roddick,0.74,29,3,0.8,0.67,168.0,0.18,0.35,158,21.0,1
106,Third,2010,Fernando Gonzalez,0.57,20,5,0.8,0.51,149.0,0.36,0.31,154,41.0,1
107,Third,2010,Marin Cilic,0.57,10,2,0.83,0.49,140.0,0.5,0.37,129,56.0,1
108,Third,2010,Juan Martin Del Potro,0.59,11,5,0.71,0.45,158.0,0.36,0.38,118,46.0,1
109,Third,2010,Andy Murray,0.55,14,3,0.81,0.56,145.0,0.44,0.49,102,28.0,1
110,Third,2010,John Isner,0.66,26,3,0.8,0.53,174.0,0.8,0.35,139,38.0,1
111,Third,2010,Ivo Karlovic,0.71,33,2,0.85,0.52,165.0,0.2,0.34,132,36.0,1
112,Third,2010,Rafael Nadal,0.62,6,3,0.69,0.51,141.0,0.42,0.39,137,38.0,1
113,Second,2010,Roger Federer,0.67,8,1,0.82,0.63,153.0,0.45,0.47,96,18.0,1
114,Second,2010,Albert Montanes,0.68,13,5,0.69,0.46,145.0,0.47,0.44,174,57.0,1
115,Second,2010,Lleyton Hewitt,0.58,7,1,0.68,0.63,146.0,0.5,0.46,102,24.0,1
116,Second,2010,Marcos Baghdatis,0.53,11,1,0.76,0.54,133.0,0.35,0.41,166,67.0,1
117,Second,2010,Fernando Verdasco,0.7,6,6,0.72,0.46,154.0,0.44,0.54,101,32.0,1
118,Second,2010,Stefan Koubek,0.65,9,4,0.81,0.55,0.0,0.5,0.42,102,8.0,1
119,Second,2010,Juan Monaco,0.68,5,2,0.63,0.57,147.0,0.44,0.42,152,31.0,1
120,Second,2010,Nikolay Davydenko,0.75,9,0,0.79,0.47,139.0,0.64,0.52,90,19.0,1
121,Second,2010,Novak Djokovic,0.63,12,9,0.75,0.33,158.0,0.44,0.48,124,61.0,1
122,Second,2010,Denis Istomin,0.67,9,2,0.75,0.55,0.0,0.6,0.43,107,4.0,1
123,Second,2010,Mikhail Youzhny,0.6,5,1,0.92,0.5,142.0,0.64,0.53,85,13.0,1
124,Second,2010,Lukasz Kubot,0.66,17,6,0.75,0.49,0.0,0.41,0.46,136,12.0,1
125,Second,2010,Jo0Wilfried Tsonga,0.58,12,0,0.86,0.61,147.0,0.45,0.39,91,10.0,1
126,Second,2010,Tommy Haas,0.56,16,7,0.72,0.44,155.0,0.75,0.38,144,78.0,1
127,Second,2010,Nicolas Almagro,0.59,17,1,0.78,0.67,147.0,0.57,0.32,135,39.0,1
128,Second,2010,Alejandro Falla,0.61,2,4,0.74,0.43,0.0,0.44,0.52,99,8.0,1
129,Second,2010,Andy Roddick,0.8,11,0,0.78,0.75,167.0,0.33,0.4,102,13.0,1
130,Second,2010,Feliciano Lopez,0.48,11,4,0.7,0.59,155.0,0.5,0.39,117,57.0,1
131,Second,2010,Evgeny Korolev,0.59,4,5,0.75,0.41,0.0,0.58,0.46,104,10.0,1
132,Second,2010,Fernando Gonzalez,0.59,14,6,0.86,0.51,149.0,0.44,0.41,109,44.0,1
133,Second,2010,Marin Cilic,0.46,25,3,0.78,0.57,144.0,0.5,0.41,185,70.0,1
134,Second,2010,Stanislas Wawrinka,0.53,12,5,0.88,0.41,155.0,0.71,0.44,92,43.0,1
135,Second,2010,Florian Mayer,0.66,6,0,0.72,0.62,0.0,0.45,0.34,129,0.0,1
136,Second,2010,Juan Martin Del Potro,0.58,19,9,0.79,0.43,151.0,0.32,0.38,205,60.0,1
137,Second,2010,Andy Murray,0.56,10,2,0.72,0.57,143.0,0.5,0.47,100,32.0,1
138,Second,2010,Florent Serra,0.58,11,7,0.63,0.56,139.0,0.35,0.38,195,104.0,1
139,Second,2010,John Isner,0.74,21,2,0.74,0.68,162.0,0.4,0.24,99,51.0,1
140,Second,2010,Gael Monfils,0.63,7,7,0.73,0.45,146.0,0.86,0.45,103,39.0,1
141,Second,2010,Ivo Karlovic,0.58,26,2,0.83,0.49,0.0,0.63,0.4,112,4.0,1
142,Second,2010,Ivan Ljubicic,0.61,12,3,0.79,0.58,0.0,0.36,0.37,126,6.0,1
143,Second,2010,Philipp Kohlschreiber,0.63,16,3,0.78,0.43,0.0,0.33,0.38,133,6.0,1
144,Second,2010,Rafael Nadal,0.55,1,1,0.71,0.69,143.0,0.7,0.52,89,30.0,1
145,First,2010,Roger Federer,0.58,9,3,0.75,0.51,153.0,0.47,0.48,135,38.0,1
146,First,2010,Victor Hanescu,0.71,6,1,0.69,0.56,0.0,0.38,0.47,126,2.0,1
147,First,2010,Stephane Robert,0.63,3,2,0.73,0.58,132.0,0.5,0.39,134,26.0,1
148,First,2010,Albert Montanes,0.6,4,2,0.79,0.63,0.0,0.13,0.42,64,4.0,1
149,First,2010,Lleyton Hewitt,0.6,10,3,0.89,0.64,135.0,0.5,0.44,88,26.0,1
150,First,2010,Donald Young,0.54,6,6,0.71,0.48,0.0,0.67,0.41,126,12.0,1
151,First,2010,Marcos Baghdatis,0.52,7,1,0.84,0.68,142.0,0.5,0.44,102,30.0,1
152,First,2010,David Ferrer,0.58,2,1,0.81,0.73,133.0,0.78,0.7,61,11.0,1
153,First,2010,Fernando Verdasco,0.73,7,6,0.79,0.45,148.0,0.27,0.37,161,28.0,1
154,First,2010,Ivan Sergeyev,0.58,10,7,0.72,0.51,0.0,0.33,0.39,157,14.0,1
155,First,2010,Stefan Koubek,0.61,13,3,0.69,0.64,0.0,0.36,0.37,160,6.0,1
156,First,2010,Ivan Dodig,0.6,19,5,0.67,0.46,0.0,0.5,0.4,133,10.0,1
157,First,2010,Juan Monaco,0.66,3,1,0.69,0.52,150.0,0.42,0.47,113,31.0,1
158,First,2010,Michael Llodra,0.63,9,4,0.76,0.6,0.0,0.33,0.42,115,8.0,1
159,First,2010,Illya Marchenko,0.57,7,6,0.74,0.53,0.0,0.45,0.41,118,12.0,1
160,First,2010,Nikolay Davydenko,0.6,6,2,0.67,0.63,141.0,0.45,0.57,89,25.0,1
161,First,2010,Novak Djokovic,0.69,4,5,0.76,0.57,158.0,0.36,0.42,103,28.0,1
162,First,2010,Marco Chiudinelli,0.58,4,3,0.72,0.51,144.0,0.5,0.39,142,48.0,1
163,First,2010,Michael Berrer,0.69,10,4,0.92,0.59,148.0,0.5,0.53,88,19.0,1
164,First,2010,Denis Istomin,0.61,6,2,0.83,0.65,0.0,0.58,0.47,82,4.0,1
165,First,2010,Mikhail Youzhny,0.57,12,8,0.73,0.51,137.0,0.6,0.36,187,80.0,1
166,First,2010,Jan Hajek,0.67,3,3,0.7,0.53,0.0,0.38,0.45,123,6.0,1
167,First,2010,Lukasz Kubot,0.63,5,3,0.69,0.69,0.0,0.64,0.47,95,6.0,1
168,First,2010,Santiago Giraldo,0.54,2,0,0.8,0.68,0.0,0.33,0.43,98,0.0,1
169,First,2010,Jo0Wilfried Tsonga,0.66,15,1,0.81,0.53,138.0,0.5,0.42,104,24.0,1
170,First,2010,Taylor Dent,0.53,7,3,0.79,0.44,170.0,0.67,0.53,81,26.0,1
171,First,2010,Janko Tipsarevic,0.61,10,5,0.65,0.6,0.0,0.22,0.42,132,10.0,1
172,First,2010,Tommy Haas,0.64,14,5,0.67,0.68,153.0,0.35,0.45,140,46.0,1
173,First,2010,Nicolas Almagro,0.61,15,5,0.74,0.59,0.0,0.23,0.33,178,10.0,1
174,First,2010,Benjamin Becker,0.51,8,8,0.8,0.47,0.0,0.55,0.37,110,16.0,1
175,First,2010,Alejandro Falla,0.52,2,4,0.8,0.57,0.0,0.5,0.4,98,8.0,1
176,First,2010,Marcel Granollers,0.65,11,1,0.61,0.58,141.0,0.47,0.4,151,40.0,1
177,First,2010,Andy Roddick,0.64,7,1,0.75,0.69,161.0,0.27,0.39,100,23.0,1
178,First,2010,Thomaz Bellucci,0.64,9,6,0.74,0.49,119.90135396518376,0.15,0.39,161,12.0,1
179,First,2010,Feliciano Lopez,0.67,13,2,0.75,0.48,0.0,0.64,0.39,94,4.0,1
180,First,2010,Rainer Schuettler,0.57,1,5,0.73,0.49,0.0,0.5,0.37,112,10.0,1
181,First,2010,Tomas Berdych,0.5,2,1,0.79,0.64,0.0,0.7,0.51,91,2.0,1
182,First,2010,Evgeny Korolev,0.57,2,7,0.72,0.49,0.0,0.78,0.44,107,14.0,1
183,First,2010,Marsel Ilhan,0.67,1,1,0.66,0.61,0.0,0.38,0.4,112,2.0,1
184,First,2010,Fernando Gonzalez,0.59,19,4,0.88,0.46,148.0,0.4,0.43,124,32.0,1
185,First,2010,Marin Cilic,0.59,6,2,0.8,0.55,143.0,0.29,0.4,108,53.0,1
